"id","name","code","user_type_id/id","chart_template_id/id","currency_id/id","reconcile"
"421","RecuperodeRezagos","421","account.data_account_type_other_income","l10n_bo.bo_chart_template","","False"
"422","RecuperodeDeudoresIncobrables","422","account.data_account_type_other_income","l10n_bo.bo_chart_template","","False"
"423","GananciaVentadeBienesdeUso","423","account.data_account_type_other_income","l10n_bo.bo_chart_template","","False"
"424","Donacionesobtenidas,ganandas,percibidas","424","account.data_account_type_other_income","l10n_bo.bo_chart_template","","False"
"425","GananciaVentaInversionesPermanentes","425","account.data_account_type_other_income","l10n_bo.bo_chart_template","","False"
"ch_bo_426","Lagananciacambiaria","426","account.data_account_type_other_income","l10n_bo.bo_chart_template","","False"
"511_01","CostodeMercaderíasVendidas-Categoriadeproductos01","511.01","account.data_account_type_expenses","l10n_bo.bo_chart_template","","False"
"512","GastosenDepreciacióndeBienesdeUso","512","account.data_account_type_expenses","l10n_bo.bo_chart_template","","False"
"513","GastosenAmortización","513","account.data_account_type_expenses","l10n_bo.bo_chart_template","","False"
"514","GastosenSueldosyJormales","514","account.data_account_type_expenses","l10n_bo.bo_chart_template","","False"
"515","GastosenCargasSociales","515","account.data_account_type_expenses","l10n_bo.bo_chart_template","","False"
"516","GastosenImpuestos","516","account.data_account_off_sheet","l10n_bo.bo_chart_template","","False"
"517","GastosBancarios","517","account.data_account_off_sheet","l10n_bo.bo_chart_template","","False"
"518","GastosenServiciosPúblicos","518","account.data_account_off_sheet","l10n_bo.bo_chart_template","","False"
"519","GastosdePublicidadyPropaganda","519","account.data_account_type_expenses","l10n_bo.bo_chart_template","","False"
"521","GastosenSiniestros","521","account.data_account_type_expenses","l10n_bo.bo_chart_template","","False"
"522","DonacionesCedidas,Otorgadas","522","account.data_account_type_expenses","l10n_bo.bo_chart_template","","False"
"523","PérdidaVentaBienesdeUso","523","account.data_account_type_expenses","l10n_bo.bo_chart_template","","False"
"ch_bo_524","Lapérdidacambiaria","524","account.data_account_type_expenses","l10n_bo.bo_chart_template","","False"
"61_01","Compras-Categoriadeproductos01","61.01","account.data_account_type_expenses","l10n_bo.bo_chart_template","","False"
"62","CostosdeProducción","62","account.data_account_type_expenses","l10n_bo.bo_chart_template","","False"
"63","GastosdeAdministración","63","account.data_account_type_expenses","l10n_bo.bo_chart_template","","False"
"64","GastosdeComercialización","64","account.data_account_type_expenses","l10n_bo.bo_chart_template","","False"
"711","MercaderiasRecibidasenConsignación","711","account.data_account_off_sheet","l10n_bo.bo_chart_template","","False"
"712","DepósitodeValoresRecibosenGarantía","712","account.data_account_off_sheet","l10n_bo.bo_chart_template","","False"
"713","GarantiasOtorgadas","713","account.data_account_off_sheet","l10n_bo.bo_chart_template","","False"
"714","DocumentosDescontados","714","account.data_account_off_sheet","l10n_bo.bo_chart_template","","False"
"715","DocumentosEndosados","715","account.data_account_off_sheet","l10n_bo.bo_chart_template","","False"
"721","ComitenteporMercaderiasRecibidasenConsignación","721","account.data_account_off_sheet","l10n_bo.bo_chart_template","","False"
"722","AcreedorporGarantíasOtorgadas","722","account.data_account_off_sheet","l10n_bo.bo_chart_template","","False"
"723","AcreedorporDocumentosDescontados","723","account.data_account_off_sheet","l10n_bo.bo_chart_template","","False"
