"id","display_detail","style_overwrite","account_type_ids/id","account_ids/id","parent_id/id","sign","name","account_report_id/id","sequence","type"
"l10n_hu.account_financial_report_pl_hu_II","Displaychildrenwithhierarchy","NormalText","account_type_pl_hu_II",,"l10n_hu.account_financial_report_pl_hu_A","Reversebalancesign","Aktiváltsajátteljesítményekértéke",,2,"AccountType"
"l10n_hu.account_financial_report_pl_hu_III","Displaychildrenwithhierarchy","NormalText","account_type_pl_hu_III",,"l10n_hu.account_financial_report_pl_hu_A","Reversebalancesign","Egyébbevételek",,3,"AccountType"
"l10n_hu.account_financial_report_pl_hu_IV","Displaychildrenwithhierarchy","NormalText","account_type_pl_hu_IV",,"l10n_hu.account_financial_report_pl_hu_A","Reversebalancesign","Anyagjellegűráfordítások",,4,"AccountType"
"l10n_hu.account_financial_report_pl_hu_V","Displaychildrenwithhierarchy","NormalText","account_type_pl_hu_V",,"l10n_hu.account_financial_report_pl_hu_A","Reversebalancesign","Személyijellegűráfordítások",,5,"AccountType"
"l10n_hu.account_financial_report_pl_hu_VI","Displaychildrenwithhierarchy","NormalText","account_type_pl_hu_VI",,"l10n_hu.account_financial_report_pl_hu_A","Reversebalancesign","Értékcsökkenésileírás",,6,"AccountType"
"l10n_hu.account_financial_report_pl_hu_VII","Displaychildrenwithhierarchy","NormalText","account_type_pl_hu_VII",,"l10n_hu.account_financial_report_pl_hu_A","Reversebalancesign","Egyébráfordítások",,7,"AccountType"
"l10n_hu.account_financial_report_bs_hu","Displaychildrenflat",,,,,"Preservebalancesign","Mérleg–HU",,30,"View"
"l10n_hu.account_financial_report_bs_hu_AC","Displaychildrenwithhierarchy","MainTitle1(bold,underlined)",,,"l10n_hu.account_financial_report_bs_hu","Preservebalancesign","EszközökÖsszesen",,100,"View"
"l10n_hu.account_financial_report_bs_hu_DG","Displaychildrenwithhierarchy","MainTitle1(bold,underlined)",,,"l10n_hu.account_financial_report_bs_hu","Reversebalancesign","ForrásokÖsszesen",,200,"View"
"l10n_hu.account_financial_report_bs_hu_A","Displaychildrenflat","Title2(bold)","account_type_bs_hu_A",,"l10n_hu.account_financial_report_bs_hu_AC","Preservebalancesign","BefektetettEszközök",,110,"View"
"l10n_hu.account_financial_report_bs_hu_AI","Displaychildrenflat","NormalText","account_type_bs_hu_AI",,"l10n_hu.account_financial_report_bs_hu_A","Preservebalancesign","ImmateriálisJavak",,10,"AccountType"
"l10n_hu.account_financial_report_bs_hu_AII","Displaychildrenflat","NormalText","account_type_bs_hu_AII",,"l10n_hu.account_financial_report_bs_hu_A","Preservebalancesign","TárgyiEszközök",,10,"AccountType"
"l10n_hu.account_financial_report_bs_hu_AIII","Displaychildrenflat","NormalText","account_type_bs_hu_AIII",,"l10n_hu.account_financial_report_bs_hu_A","Preservebalancesign","BefektetettPénzügyiEszközök",,10,"AccountType"
"l10n_hu.account_financial_report_bs_hu_B","Displaychildrenwithhierarchy","Title2(bold)","account_type_bs_hu_B",,"l10n_hu.account_financial_report_bs_hu_AC","Preservebalancesign","Forgóeszközök",,120,"View"
"l10n_hu.account_financial_report_bs_hu_BI","Displaychildrenflat","NormalText","account_type_bs_hu_BI",,"l10n_hu.account_financial_report_bs_hu_B","Preservebalancesign","Készletek",,10,"AccountType"
"l10n_hu.account_financial_report_bs_hu_BII","Displaychildrenflat","NormalText","account_type_bs_hu_BII",,"l10n_hu.account_financial_report_bs_hu_B","Preservebalancesign","Követelések",,10,"AccountType"
"l10n_hu.account_financial_report_bs_hu_BIII","Displaychildrenflat","NormalText","account_type_bs_hu_BIII",,"l10n_hu.account_financial_report_bs_hu_B","Preservebalancesign","Értékpapírok",,10,"AccountType"
"l10n_hu.account_financial_report_bs_hu_BIV","Displaychildrenflat","NormalText","account_type_bs_hu_BIV",,"l10n_hu.account_financial_report_bs_hu_B","Preservebalancesign","Pénzeszközök",,10,"AccountType"
"l10n_hu.account_financial_report_bs_hu_C","Displaychildrenwithhierarchy","Title2(bold)","account_type_bs_hu_C",,"l10n_hu.account_financial_report_bs_hu_AC","Preservebalancesign","AktívIdőbeliElhatárolások",,130,"AccountType"
"l10n_hu.account_financial_report_bs_hu_pl","Displaychildrenflat","Title2(bold)",,,"l10n_hu.account_financial_report_bs_hu_DG","Reversebalancesign","Számítotteredmény","l10n_hu.account_financial_report_pl_hu",201,"ReportValue"
"l10n_hu.account_financial_report_bs_hu_D","Displaychildrenwithhierarchy","Title2(bold)","account_type_bs_hu_D",,"l10n_hu.account_financial_report_bs_hu_DG","Reversebalancesign","SajátTőke",,210,"AccountType"
"l10n_hu.account_financial_report_bs_hu_E","Displaychildrenwithhierarchy","Title2(bold)","account_type_bs_hu_E",,"l10n_hu.account_financial_report_bs_hu_DG","Reversebalancesign","Céltartalékok",,220,"AccountType"
"l10n_hu.account_financial_report_bs_hu_F","Displaychildrenwithhierarchy","Title2(bold)","account_type_bs_hu_F",,"l10n_hu.account_financial_report_bs_hu_DG","Reversebalancesign","Kötelezettségek",,230,"View"
"l10n_hu.account_financial_report_bs_hu_FI","Displaychildrenwithhierarchy","NormalText","account_type_bs_hu_FI",,"l10n_hu.account_financial_report_bs_hu_F","Reversebalancesign","HátrasoroltKötelezettségek",,10,"AccountType"
"l10n_hu.account_financial_report_bs_hu_FII","Displaychildrenwithhierarchy","NormalText","account_type_bs_hu_FII",,"l10n_hu.account_financial_report_bs_hu_F","Reversebalancesign","HosszúLejáratúKötelezettségek",,10,"AccountType"
"l10n_hu.account_financial_report_bs_hu_FIII","Displaychildrenwithhierarchy","NormalText","account_type_bs_hu_FIII",,"l10n_hu.account_financial_report_bs_hu_F","Reversebalancesign","RövidLejáratúKötelezettségek",,10,"AccountType"
"l10n_hu.account_financial_report_bs_hu_G","Displaychildrenwithhierarchy","Title2(bold)","account_type_bs_hu_G",,"l10n_hu.account_financial_report_bs_hu_DG","Reversebalancesign","PasszívIdőbeliElhatárolások",,240,"AccountType"
