"id","name","code_prefix_start","code_prefix_end","chart_template_id/id","parent_id/id"
"account_group_50","Investițiipetermenscurt","50","","ro_chart_template","account_group_5"
"account_group_508","Alteinvestițiipetermenscurtșicreanțeasimilate","508","","ro_chart_template","account_group_50"
"account_group_509","Vărsămintedeefectuatpentruinvestițiilepetermenscurt","509","","ro_chart_template","account_group_50"
"account_group_51","Conturilabănci","51","","ro_chart_template","account_group_5"
"account_group_511","Valorideîncasat","511","","ro_chart_template","account_group_51"
"account_group_512","Valorideîncasat","512","","ro_chart_template","account_group_51"
"account_group_518","Valorideîncasat","518","","ro_chart_template","account_group_51"
"account_group_519","Valorideîncasat","519","","ro_chart_template","account_group_51"
"account_group_53","Casa","53","","ro_chart_template","account_group_5"
"account_group_531","Casa","531","","ro_chart_template","account_group_53"
"account_group_532","Altevalori","532","","ro_chart_template","account_group_53"
"account_group_54","Acreditive","54","","ro_chart_template","account_group_5"
"account_group_541","Acreditive","541","","ro_chart_template","account_group_54"
"account_group_58","Viramenteinterne","58","","ro_chart_template","account_group_5"
"account_group_59","Ajustăripentrupierdereadevaloareaconturilordetrezorerie","59","","ro_chart_template","account_group_5"
"account_group_6","CONTURIDECHELTUIELI","6","","ro_chart_template","account_group_cls_67"
"account_group_60","Cheltuieliprivindstocurile","60","","ro_chart_template","account_group_6"
"account_group_602","Cheltuielicumaterialeleconsumabile","602","","ro_chart_template","account_group_60"
"account_group_61","Cheltuielicuserviciileexecutatedeterți","61","","ro_chart_template","account_group_6"
"account_group_62","Cheltuielicualteserviciiexecutatedeterți","62","","ro_chart_template","account_group_6"
"account_group_623","Cheltuielideprotocol,reclamasipublicitate","623","","ro_chart_template","account_group_62"
"account_group_63","Cheltuielicualteimpozite,taxeșivărsăminteasimilate","63","","ro_chart_template","account_group_6"
"account_group_635","Cheltuielicualteimpozite,taxeșivărsăminteasimilate","635","","ro_chart_template","account_group_63"
"account_group_64","Cheltuielicupersonalul","64","","ro_chart_template","account_group_6"
"account_group_642","Cheltuielicuavantajeleînnaturășiticheteleacordatesalariaților","642","","ro_chart_template","account_group_64"
"account_group_645","Cheltuieliprivindasigurărileșiprotecțiasocială","645","","ro_chart_template","account_group_64"
"account_group_65","Altecheltuielideexploatare","65","","ro_chart_template","account_group_6"
"account_group_651","Cheltuielidinoperațiunidefiducie","651","","ro_chart_template","account_group_65"
"account_group_658","Altecheltuielideexploatare","658","","ro_chart_template","account_group_65"
"account_group_6588","Altecheltuielideexploatare","6588","","ro_chart_template","account_group_658"
"account_group_66","Cheltuielifinanciare","66","","ro_chart_template","account_group_6"
"account_group_664","Cheltuieliprivindinvestițiilefinanciarecedate","664","","ro_chart_template","account_group_66"
"account_group_665","Cheltuielidindiferențedecursvalutar","665","","ro_chart_template","account_group_66"
"account_group_68","Cheltuielicuamortizările,provizioaneleșiajustărilepentrudeprecieresaupierderedevaloare","68","","ro_chart_template","account_group_6"
"account_group_681","Cheltuielideexploatareprivindamortizările,provizioaneleșiajustărilepentrudepreciere","681","","ro_chart_template","account_group_68"
"account_group_686","Cheltuielifinanciareprivindamortizările,provizioaneleșiajustărilepentrupierderedevaloare","686","","ro_chart_template","account_group_68"
"account_group_69","Cheltuielicuimpozitulpeprofitșialteimpozite","69","","ro_chart_template","account_group_6"
"account_group_7","CONTURIDEVENITURI","7","","ro_chart_template","account_group_cls_67"
"account_group_70","Cifradeafacerinetă","70","","ro_chart_template","account_group_7"
"account_group_701","Venituridinvânzareaproduselorfinite,produseloragricoleșiaactivelorbiologicedenaturastocurilor","701","","ro_chart_template","account_group_70"
"account_group_71","Venituriaferentecostuluiproducțieiîncursdeexecuție","71","","ro_chart_template","account_group_7"
"account_group_72","Venituridinproducțiadeimobilizări","72","","ro_chart_template","account_group_7"
"account_group_74","Venituridinsubvențiideexploatare","74","","ro_chart_template","account_group_7"
"account_group_741","Venituridinsubvențiideexploatare","741","","ro_chart_template","account_group_74"
"account_group_75","Altevenituridinexploatare","75","","ro_chart_template","account_group_7"
"account_group_751","Venituridinoperațiunidefiducie","751","","ro_chart_template","account_group_75"
"account_group_758","Altevenituridinexploatare","758","","ro_chart_template","account_group_75"
"account_group_76","Veniturifinanciare","76","","ro_chart_template","account_group_7"
"account_group_761","Venituridinimobilizărifinanciare","761","","ro_chart_template","account_group_76"
"account_group_764","Venituridininvestițiifinanciarecedate","764","","ro_chart_template","account_group_76"
"account_group_765","Venituridindiferențedecursvalutar","765","","ro_chart_template","account_group_76"
"account_group_78","Venituridinprovizioane,amortizărișiajustăripentrudeprecieresaupierderedevaloare","78","","ro_chart_template","account_group_7"
"account_group_781","Venituridinprovizioaneșiajustăripentrudepreciereprivindactivitateadeexploatare","781","","ro_chart_template","account_group_78"
"account_group_786","Veniturifinanciaredinamortizărișiajustăripentrupierderedevaloare","786","","ro_chart_template","account_group_78"
