id,name,applicability,country_id:id
vat_report_tag44,"ТТ3а:Чөлөөлөгдөхүйлдвэрлэл,үйлчилгээндзориулжавсанбараа,ажил,үйлчилгээндтөлсөнНӨАТ(44)",taxes,base.mn
vat_report_tag45,"ТТ3а:Хайгуулынажилболонашиглалтынөмнөхүйлажиллагаандзориулжимпортооравсанбараа,ажил,үйлчилгээндтөлсөнНӨАТ(45)",taxes,base.mn
vat_report_tag46,"ТТ3а:Импортоороруулсанбусадхамааралгүйбараа,ажил,үйлчилгээндтөлсөнНӨАТ(46)",taxes,base.mn
vat_report_tag48,ТТ3а:Cанхүүгийнтүрээсээрдотоодынзахзээлдборлуулсныорлого(48),taxes,base.mn
vat_report_tag49,"ТТ3а:Факторинг,форфайтингхэлцлийнүйлчилгээнийорлого(49)",taxes,base.mn
vat_report_tag51,ТТ3а:Санхүүгийнтүрээсийнзүйлийгхудалданавахадтөлсөнтүрээсийнтөлбөр(51),taxes,base.mn
vat_report_tag52,"ТТ3а:Факторинг,форфайтингхэлцлийгавахадтөлсөнтөлбөр(52)",taxes,base.mn
vat_report_tag58,"ТТ3а:Борлуулалтынорлогынбуцаалт,хөнгөлөлт(58)",accounts,
vat_report_tag59,"ТТ3а:Худалданавалтынбуцаалт,хөнгөлөлт(59)",accounts,
tax_report_tag2,ТТ02:Татвараасчөлөөлөгдөхорлого(2),accounts,
tax_report_tag5,ТТ02:Бусадорлогындүн(5),accounts,
tax_report_tag7,ТТ02:Үндсэнажилүйлчилгээнийорлого(7),accounts,
tax_report_tag8,ТТ02:Туслахажилүйлчилгээнийорлого(8),accounts,
tax_report_tag9,"ТТ02:Хувьцаа,үнэтцаасборлуулсныорлого(9)",accounts,
tax_report_tag10,"ТТ02:Үнэтөлбөргүйгээрбусдаасавсанбараа,үйлчилгээ(10)",accounts,
tax_report_tag11,ТТ02:Биетбусхөрөнгөборлуулсныорлого(11),accounts,
tax_report_tag12,ТТ02:Техникийнзөвлөхүйлчилгээнийорлого(12),accounts,
tax_report_tag13,"ТТ02:Гэрээнийхүү,торгууль,хохирлыннөхөнтөлбөрийнорлого(13)",accounts,
tax_report_tag14,ТТ02:Гадаадвалютынханшийнзөрүүгийнбодиторлого(14),accounts,
tax_report_tag15,ТТ02:Хөдлөхболонүлхөдлөхэдхөрөнгийнтүрээсийнорлого(15),accounts,
tax_report_tag16,ТТ02:Хөдлөхэдхөрөнгөборлуулсныорлого(16),accounts,
tax_report_tag17,ТТ02:Албантатварногдохбусадорлого(17),accounts,
tax_report_tag22,ТТ02:Татварногдохорлогоосхасагдахгүйзардал(22),accounts,
tax_report_tag23,ТТ02:Татварногдохорлогыгбууруулах(23),accounts,
tax_report_tag25,ТТ02:Сайндурындаатгалынхураамжийнхэтрэлт(25),accounts,
tax_report_tag27,ТТ02:Өмнөхжилийнтатварыналдагдлаастайлантхугацаандшилжүүлсэндүн(27),accounts,
tax_report_tag30,ТТ02:Татварынхөнгөлөлт(30),accounts,
tax_report_tag32,"ТТ02:Эротикхэвлэл,бичлэг,тоглолтборлуулалтынорлого(32)",accounts,
tax_report_tag34,"ТТ02:Таавар,бооцооттоглоом,хонжвортсугалааныорлого(34)",accounts,
tax_report_tag35,"ТТ02:Таавар,бооцооттоглоом,хонжвортсугалааныорлогоолоходзарцуулсанзардал(35)",accounts,
tax_report_tag36,ТТ02:Хонжвортолгосонмөнгөболонбарааныүнэ(36),accounts,
tax_report_tag39,ТТ02:Хүүгийнорлого(39),accounts,
tax_report_tag41,"ТТ02:Гадаадулсадолсонногдолашиг,хүүгийнорлого(41)",accounts,
tax_report_tag43,ТТ02:Гадаадулсадолсонорлого(43),accounts,
tax_report_tag46,ТТ02:Ногдолашгийнорлого(46),accounts,
tax_report_tag48,ТТ02:Эрхийншимтгэлийнорлого(48),accounts,
tax_report_tag50,ТТ02:Эрхборлуулсныорлого(50),accounts,
tax_report_tag52,ТТ02:Үлхөдлөххөрөнгөборлуулсныорлого(52),accounts,
